Title (if known),Season,New Commitment Status,"""Known"" vs. Additional",Status Quo,ASQ,Invest in All,Source,Exclusivity / Window,Year,Month,Month Year,Market,Region,New vs. Returning,Content type,Performance Tier,Tier Confirmed?,Budget Tier,PSI Content genre,Genre tier map,PSI Content format,Format,Genre,Co-pro flag,Anime flag,Animated flag,VFX flag,Release strategy,Simplified Categories,Volume (eps),Hours per ep,Volume (hours)
ISADORA MOON S1C,1,Priority Uncommitted,Known,Include,Include,Include,Max OP,Exclusive,2025,7,7/1/25,US,NA,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,15,0.5,7.5
AQUAGIRL S1B,1,Named (New Series),Known,Include,Include,Include,Max OP,Exclusive,2025,2,2/1/25,US,NA,New,Kids - Animated Series,Bronze,N,Bronze,Comedy,Comedy | Bronze,Series - Kids,Series - Kids Animated,Kids,0,0,1,0,,Kids,15,0.25,3.75
Prisoner of the Prophet (Escaping FLDS (Apostate)),1,Committed,Known,Include,Include,Include,D+,Exclusive,2023,1,1/1/23,US,NA,New,Docuseries,Silver,Y,Gold,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
American Masters/PBS Library,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Docuseries,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
January 6th (Insurrection Day),1,Committed,Known,Include,Include,Include,D+,Exclusive,2023,1,1/1/23,US,NA,New,Docuseries,Silver,Y,Silver,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
A&E Year 3 + 4 - Unscripted Catalog,3,Committed,Known,Include,Include,Include,BBC,Exclusive,2023,1,1/1/23,US,NA,Returning,Docuseries,Silver,Y,N/A,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,N/A,N/A,N/A
"Teen Torture, Inc",1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Bronze,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Coming From America D+,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Gold,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Love off the Grid S2,2,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,Returning,Unscripted Series - Docufollow / Reality,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
"My Grandfather, The Zodiac Killer",1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Docuseries,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
Beat The Meat,1,Committed,Known,Include,Include,Include,BBC,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Bronze,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
What Are You Eating? (Your Foods Roots with Zooey Deschanel),1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Gold,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Kendra Sells Hollywood S2,2,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,Returning,Unscripted Series - Docufollow / Reality,Silver,Y,Silver,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Shaun White: Born To Fly,1,Committed,Known,Include,Include,Include,BBC,Exclusive,2024,1,1/1/24,US,NA,New,Docuseries,Silver,Y,Gold,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
How To Create A Sex Scandal (wt),1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Bronze,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Selling the Hamptons S2,2,Committed,Known,Include,Include,Include,BBC,Exclusive,2024,1,1/1/24,US,NA,Returning,Unscripted Series - Docufollow / Reality,Silver,Y,Gold,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Taking Back The House,1,Committed,Known,Include,Include,Include,D+,Exclusive,2023,6,6/1/23,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Gold,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Smartless,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Chasing Flavor (Off the Eaten Path With Carla Hall),1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Serving The Hamptons - S2,2,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,Returning,Unscripted Series - Docufollow / Reality,Silver,Y,Silver,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Robert Downey Jr's Dream Cars,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Mostly Harmless (wt),1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Bronze,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Turn Yourself In,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Bronze,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Won't Be Silent,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Silver,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Thirst,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Silver,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Man Who Played with Fire,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Bronze,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
On the Roam with Jason Momoa,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
American Aryans,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Docuseries,Silver,Y,Silver,Unscripted,Unscripted | Silver,Limited / Doc series,Series - Documentary,Unscripted,0,0,0,0,,Doc Features + Series,5,0.9,4.5
Kings of XTC,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Bronze,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
Justice USA,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
BBC Titles + Library,1,Committed,Known,Include,Include,Include,D+,Exclusive,2024,1,1/1/24,US,NA,New,Unscripted Series - Docufollow / Reality,Silver,Y,Platinum,Unscripted,Unscripted | Silver,Series - Unscripted,Series - Unscripted,Unscripted,0,0,0,0,,Unscripted,8,0.7,5.6
House Party,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,1,1/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Magic Mike 3,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,4,4/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Shazam! Fury of the Gods (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,6,6/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Evil Dead Rise,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,6,6/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
The Flash (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,9,9/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Barbie,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,10,10/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
The Meg 2,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,10,10/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Blue Beetle (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,11,11/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
The Nun 2,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,11,11/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Avatar 2: The Way of Water,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2023,4,4/1/23,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Dune 2,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,2,2/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Medium 2,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,2,2/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Wonka,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,3,3/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Aquaman & The Lost Kingdom (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,3,3/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Tentpole 1 (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,3,3/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Wise Guy,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,4,4/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Medium 3,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,4,4/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Tentpole 2 (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,5,5/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Medium 1,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,6,6/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Low 2,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,8,8/1/24,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Tentpole 3 (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,10,10/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Medium 4,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,11,11/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Tentpole 4,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2024,12,12/1/24,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Low 3,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,1,1/1/25,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Medium 1,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,2,2/1/25,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Tentpole 1 (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,3,3/1/25,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Low 1,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,3,3/1/25,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Tentpole 2,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,4,4/1/25,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Tentpole 3 (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,5,5/1/25,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Medium 2,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,6,6/1/25,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Low 2,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,7,7/1/25,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Medium 3,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,8,8/1/25,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Low 3,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,9,9/1/25,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Tentpole 4 (DC),N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,10,10/1/25,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Low 4,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,10,10/1/25,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Medium 4,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,11,11/1/25,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Tentpole 5,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2025,12,12/1/25,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,9,9/1/26,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,10,10/1/26,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,11,11/1/26,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,12,12/1/26,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,1,1/1/26,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,2,2/1/26,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,3,3/1/26,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,4,4/1/26,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,5,5/1/26,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,6,6/1/26,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,7,7/1/26,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,8,8/1/26,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,9,9/1/26,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2026,10,10/1/26,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,7,7/1/27,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,8,8/1/27,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,9,9/1/27,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,10,10/1/27,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,11,11/1/27,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,12,12/1/27,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,1,1/1/27,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,2,2/1/27,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,3,3/1/27,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,4,4/1/27,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,5,5/1/27,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,6,6/1/27,US,NA,New,Pay 1 - Studio,Gold,N,N/A,Pay 1,Pay 1 | Gold,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
Placeholder Pay 1 - Warner,N/A,N/A,Known,Include,Include,Include,TBD,Exclusive,2027,7,7/1/27,US,NA,New,Pay 1 - Studio,Platinum,N,N/A,Pay 1,Pay 1 | Platinum,Feature,Feature,Pay 1,0,0,0,0,,Scripted Features,N/A,N/A,N/A
